"Refid","Bibliography"
3,"Cuijpers, Pim, Franco, Pamela, Ciharova, Marketa, Miguel, Clara, Segre, Lisa, Quero, Soledad, Karyotaki, Eirini (2023).  Psychological treatment of perinatal depression: a meta-analysis Psychological Medicine, 53(6),  2596. 10.1017/S0033291721004529"
7,"Owen, Christian Paige, MSN, RN, CEN©, Djukic, Maja, PhD, RN, FAAN, Whisenant, Meagan, PhD, APRN, Lobiondo-Wood, Geri, PhD, RN, FAAN (2023).  Factors of maladaptive coping in emergency healthcare professionals: A systematic review Journal of Nursing Scholarship, 55(2),  536. 10.1111/jnu.12848"
10,"Franzoi, Isabella Giulia, Carnevale, Giuliano, Sauta, Maria Domenica, Granieri, Antonella (2023).  Housing conditions and psychological distress among higher education students: a systematic literature review Journal of Further and Higher Education, 47(2),  229. 10.1080/0309877X.2022.2102416"
15,"Chaplin, Anna B, Daniels, Natasha F, Ples, Diana, Anderson, Rebecca Z, Gregory-Jones, Amy, Jones, Peter B, Khandaker, Golam M (2023).  Longitudinal association between cardiovascular risk factors and depression in young people: a systematic review and meta-analysis of cohort studies Psychological Medicine, 53(3),  1049. 10.1017/S0033291721002488"
16,"Bartels, Meike, PhD, Middeldorp, Christel M, MD PhD (2023).  The Association of Childhood Maltreatment and Mental Health Problems: Partly Causal and Partly Due to Other Factors The American Journal of Psychiatry, 180(2),  105. 10.1176/appi.ajp.20220969"
19,"Jefferson, Sean G, Erp, Lauren S (2023).  Relation between Restricted and Repetitive Behaviors and Anxiety in Autism Spectrum Disorder: A Meta-Analysis Child & Family Behavior Therapy, 45(1),  1. 10.1080/07317107.2022.2111750"
24,"Westwood, Samuel J, Criaud, Marion, Lam, Sheut-Ling, Lukito, Steve, Wallace-Hanlon, Sophie, Kowalczyk, Olivia S, Kostara, Afroditi, Mathew, Joseph, Agbedjro, Deborah, Wexler, Bruce E, Roi Cohen Kadosh, Asherson, Philip, Rubia, Katya (2023).  Transcranial direct current stimulation (tDCS) combined with cognitive training in adolescent boys with ADHD: a double-blind, randomised, sham-controlled trial Psychological Medicine, 53(2),  497. 10.1017/S0033291721001859"
25,"Terrazas-Carrillo, Elizabeth, Vásquez, Desi, Garcia, Ediza (2023).  Group Cohesion in Psychoeducational Groups with Latinos: Examining Cultural Correlates International Journal of Group Psychotherapy, 73(1),  20. 10.1080/00207284.2022.2141248"
27,"Xerxa, Yllza, Rescorla, Leslie A, Shanahan, Lilly, Tiemeier, Henning, Copeland, William E (2023).  Childhood loneliness as a specific risk factor for adult psychiatric disorders Psychological Medicine, 53(1),  227. 10.1017/S0033291721001422"
31,"Vickers, Gemma, Combes, Helen, Lonsdale, Jennie (2023).  Mental health professionals’ views of the borderline personality disorder diagnosis for children and young people: a Q-methodological study The Journal of Mental Health Training, Education, and Practice, 18(1),  1. 10.1108/JMHTEP-09-2021-0104"
33,"Thielemann, JFB, Kasparik, B, König, J, Unterhitzenberger, J, Rosner, R (2022).  A systematic review and meta-analysis of trauma-focused cognitive behavioral therapy for children and adolescents Child Abuse & Neglect, 134(),  1. 10.1016/j.chiabu.2022.105899"
34,"Filges, Trine, Dalgaard, Nina T, Viinholt, Bjørn C A (2022).  Outreach programs to improve life circumstances and prevent further adverse developmental trajectories of at-risk youth in OECD countries: A systematic review Campbell Systematic Reviews, 18(4),  . 10.1002/cl2.1282"
35,"Ahmed, Syeda Kashfee, Jeffries, David, Chakraborty, Anannya, Carslake, Toby, Lietz, Petra, Rahayu, Budiarti, Armstrong, David, Kaushik, Amit, Sundarsagar, Kris (2022).  Teacher professional development for disability inclusion in low- and middle-income Asia-Pacific countries: An evidence and gap map Campbell Systematic Reviews, 18(4),  . 10.1002/cl2.1287"
38,"Mertens, E. C. A., Deković, M., van Londen, M., Spitzer, J. E., Reitz, E. (2022).  Components Related to Long-Term Effects in the Intra- and Interpersonal Domains: A Meta-Analysis of Universal School-Based Interventions Clinical Child and Family Psychology Review, 25(4),  627. 10.1007/s10567-022-00406-3"
47,"Pusch Natasha (2022).  Macro-level Criminological Perspectives and School Delinquency: A Meta-analysis Youth and Society, 54(7),  1247. 10.1177/0044118X211022387"
55,"Ryan Jayesinghe, Busari, Temitope, Bentwood, Sara, Helps, Sarah, Osborne, Sarah (2022).  861 Debrief sessions for staff involved in child safeguarding Archives of Disease in Childhood, 107(Suppl 2),  A289. 10.1136/archdischild-2022-rcpch.469"
56,"Daniele Katia, Gambacorti Passerini Maria B, Palmieri, Cristina, Zannini Lucia (2022).  Educational interventions to promote adolescents’ mental health: A scoping review The Health Education Journal, 81(5),  597. 10.1177/00178969221105359"
61,"Bao Xiuqin, Li, Song, Zhang Yaoyao, Tang Qingting, Chen, Xu (2022).  Different effects of anxiety and avoidance dimensions of attachment on interpersonal trust: A multilevel meta-analysis Journal of Social and Personal Relationships, 39(7),  2069. 10.1177/02654075221074387"
63,"Bosqui, Tania, Anas Mayya, Al-Kadasi, Aws (2022).  Mechanisms of Change for Child Mental Health and Psychosocial Support in Conflict Settings: A Systematic Review Intervention, 20(2),  161. 10.4103/intv.intv_25_21"
64,"Waid, Jeffrey, Cho, Minhae, Marsalis, Scott (2022).  Mental health targets in child maltreatment prevention programs: A systematic review of randomized trials Children and Youth Services Review, 136(),  1. 10.1016/j.childyouth.2022.106423"
66,"Mohammed Abou Daya, Tomlin, Stephen, Rashed, Asia (2022).  P07 Hormonal contraceptives: safe for use in adolescent girls? Archives of Disease in Childhood, 107(5),  e25. 10.1136/archdischild-2022-NPPG.16"
67,"Kaminskaite, Viktorija, Mankal, Shruthi, Wilson, Helena (2022).  Is honey an effective adjunct to conventional analgesic agents for children post-tonsillectomy? Archives of Disease in Childhood, (),  . 10.1136/archdischild-2022-324079"
