"Refid","Bibliography","User","Ris Code","Level","Study ES List_k","effect_intervention_group","effect_comparison_group","effect_outcome","effect_outcome_type","effect_report_number","effect_page","effect_type","effect_timing","effect_favored","effect_icc","effect_intervention_baseline_participants","effect_comparison_baseline_participants","effect_intervention_followup_participants","effect_comparison_followup_participants","effect_intervention_baseline_classrooms","effect_comparison_baseline_classrooms","effect_intervention_followup_classrooms","effect_comparison_followup_classrooms","effect_intervention_baseline_schools","effect_comparison_baseline_schoools","effect_intervention_followup_schools","effect_comparison_followup_schools","effect_intervention_baseline_mean","effect_intervention_baseline_sd","effect_intervention_followup_mean","effect_intervention_followup_sd","effect_comparison_baseline_mean","effect_comparison_baseline_sd","effect_comparison_followup_mean","effect_comparison_followup_sd","effect_intervention_n_successful","effect_intervention_n_unsuccessful","effect_comparison_n_successful","effect_comparison_n_unsuccessful","effect_size_type -> NA - I entered the necessary information above","effect_size_type -> Means and Standard Errors (SEs)","effect_size_type -> Independent t-test","effect_size_type -> One-way ANOVA F-test (with df = 1)","effect_size_type -> Chi-squared test statistic (with df = 1)","effect_size_type -> Unstandardized regression coefficient for treatment dummy indicator","effect_size_type -> Standardized regression coefficient for treatment dummy indicator","effect_size_type -> Author-reported odds ratio","effect_size_type -> Author-reported standardized mean difference","effect_size_type -> Insufficient information to calculate effect size","effect_r_squared","effect_SE_intervention_mean","effect_SE_intervention_se","effect_SE_comparison_mean","effect_SE_comparison_se","effect_t_test","effect_f_test","effect_chi_square","effect_unstandardized_coefficient","effect_unstandardized_sd","effect_standardized_coefficient","effect_standardized_sd","effect_or","effect_or_ci_lower","effect_or_ci_upper","effect_smd","effect_smd_ci_lower","effect_smd_ci_upper","effect_notes"
10031,"Miller, et al 2011 ",spgrant,,8,"1-FRIENDS for Life-2-Waitlist-1-Multidimensional Anxiety Scale for Children (MASC)-Anxiety symptoms-Continuous","1-FRIENDS for Life",2-Waitlist,"1-Multidimensional Anxiety Scale for Children (MASC)-Anxiety symptoms",Continuous,10031,624,Pretest,,Intervention,0.01,269,264,,,-999,-999,,,8,7,,,45.20,19.10,,,47.19,17.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Table 1"
10031,"Miller, et al 2011 ",spgrant,,8,"1-FRIENDS for Life-2-Waitlist-1-Multidimensional Anxiety Scale for Children (MASC)-Anxiety symptoms-Continuous-0","1-FRIENDS for Life",2-Waitlist,"1-Multidimensional Anxiety Scale for Children (MASC)-Anxiety symptoms",Continuous,10031,624,Post-test,0,Intervention,0.01,,,212,236,,,-999,-999,,,8,7,,,43.35,20.31,,,45.61,18.70,,,,,"NA - I entered the necessary information above",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Table 1"
10031,"Miller, et al 2011 ",mschweer,,8,"1-FRIENDS for Life-2-Waitlist-1-Multidimensional Anxiety Scale for Children (MASC)-Anxiety symptoms-Continuous","1-FRIENDS for Life",2-Waitlist,"1-Multidimensional Anxiety Scale for Children (MASC)-Anxiety symptoms",Continuous,10031,624,Pretest,,Intervention,0.01,269,264,,,-999,-999,,,8,7,,,45.20,19.10,,,47.19,17.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Table 1"
10031,"Miller, et al 2011 ",mschweer,,8,"1-FRIENDS for Life-2-Waitlist-1-Multidimensional Anxiety Scale for Children (MASC)-Anxiety symptoms-Continuous-0","1-FRIENDS for Life",2-Waitlist,"1-Multidimensional Anxiety Scale for Children (MASC)-Anxiety symptoms",Continuous,10031,624,Post-test,0,Intervention,0.01,,,212,236,,,-999,-999,,,8,7,,,43.35,20.31,,,45.61,18.70,,,,,"NA - I entered the necessary information above",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Table 1"
10032,"Mifsud, et al 2005 ",spgrant,,8,"1-Cool Kids Program-2-Waitlist-2-Spence Children&rsquo;s Anxiety Scale-SCAS-P-Continuous","1-Cool Kids Program",2-Waitlist,"2-Spence Children&rsquo;s Anxiety Scale-SCAS-P",Continuous,10032,1000,Pretest,,Intervention,-999,39,34,,,-999,-999,,,5,4,,,26.6,17.5,,,29.7,18.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10032,"Mifsud, et al 2005 ",spgrant,,8,"1-Cool Kids Program-2-Waitlist-2-Spence Children&rsquo;s Anxiety Scale-SCAS-P-Continuous-0","1-Cool Kids Program",2-Waitlist,"2-Spence Children&rsquo;s Anxiety Scale-SCAS-P",Continuous,10032,1000,Post-test,0,Intervention,-999,,,16,22,,,-999,-999,,,-999,-999,,,19.4,15.3,,,32.0,20.9,,,,,"NA - I entered the necessary information above",,,,,,,,,,,,,,,,,,,,,,,,,,,,
10032,"Mifsud, et al 2005 ",spgrant,,8,"1-Cool Kids Program-2-Waitlist-1-Spence Children&rsquo;s Anxiety Scale-SCAS - Child Self-Report-Continuous-17.38","1-Cool Kids Program",2-Waitlist,"1-Spence Children&rsquo;s Anxiety Scale-SCAS - Child Self-Report",Continuous,10032,1000,Post-test,17.38,Intervention,-999,,,44,26,,,-999,-999,,,5,4,,,31.2,21.9,,,44.7,25.4,,,,,"NA - I entered the necessary information above",,,,,,,,,,,,,,,,,,,,,,,,,,,,
10032,"Mifsud, et al 2005 ",spgrant,,8,"1-Cool Kids Program-2-Waitlist-1-Spence Children&rsquo;s Anxiety Scale-SCAS - Child Self-Report-Continuous-0","1-Cool Kids Program",2-Waitlist,"1-Spence Children&rsquo;s Anxiety Scale-SCAS - Child Self-Report",Continuous,10032,1000,Post-test,0,Intervention,-999,,,46,30,,,-999,-999,,,5,4,,,39.9,27.1,,,49.6,27.6,,,,,"NA - I entered the necessary information above",,,,,,,,,,,,,,,,,,,,,,,,,,,,
10032,"Mifsud, et al 2005 ",spgrant,,8,"1-Cool Kids Program-2-Waitlist-1-Spence Children&rsquo;s Anxiety Scale-SCAS - Child Self-Report-Continuous","1-Cool Kids Program",2-Waitlist,"1-Spence Children&rsquo;s Anxiety Scale-SCAS - Child Self-Report",Continuous,10032,1000,Pretest,,Comparison,-999,51,40,,,-999,-999,,,5,4,,,50.0,28.0,,,46.7,24.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10032,"Mifsud, et al 2005 ",spgrant,,8,"1-Cool Kids Program-2-Waitlist-1-Spence Children&rsquo;s Anxiety Scale-SCAS - Child Self-Report-Continuous-17.38","1-Cool Kids Program",2-Waitlist,"1-Spence Children&rsquo;s Anxiety Scale-SCAS - Child Self-Report",Continuous,10032,1000,Post-test,17.38,Intervention,-999,,,44,26,,,-999,-999,,,5,4,,,31.2,21.9,,,44.7,25.4,,,,,"NA - I entered the necessary information above",,,,,,,,,,,,,,,,,,,,,,,,,,,,
10032,"Mifsud, et al 2005 ",spgrant,,8,"1-Cool Kids Program-2-Waitlist-2-Spence Children&rsquo;s Anxiety Scale-SCAS-P-Continuous","1-Cool Kids Program",2-Waitlist,"2-Spence Children&rsquo;s Anxiety Scale-SCAS-P",Continuous,10032,1000,Pretest,,Intervention,-999,39,34,,,-999,-999,,,5,4,,,26.6,17.5,,,29.7,18.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10032,"Mifsud, et al 2005 ",spgrant,,8,"1-Cool Kids Program-2-Waitlist-2-Spence Children&rsquo;s Anxiety Scale-SCAS-P-Continuous-0","1-Cool Kids Program",2-Waitlist,"2-Spence Children&rsquo;s Anxiety Scale-SCAS-P",Continuous,10032,1000,Post-test,0,Intervention,-999,,,16,22,,,-999,-999,,,-999,-999,,,19.4,15.3,,,32.0,20.9,,,,,"NA - I entered the necessary information above",,,,,,,,,,,,,,,,,,,,,,,,,,,,
